IO No.,Type,Customer,Due Date,IO date,A-ES,ATD,Supplier Invoice,ATA LG,ATA PU,ATA,AS Received,QC LG,QC PU,QC Receive,QC Stock,QC AS,QC REQ,QC,TRA,Price,Invoice Date,Stock For Sale,PO Receive date,App,IO Type,ATD,PO Due Date,Province,IO Ready
1107-22,S,"Panel Plus Bio-Power Co.,Ltd.",31/12/2022,16/3/2022,A-ES,,,,,,,,,,,,,,21/11/2022,"336,000",21/11/2022,,16/03/2022,UL,L-M,,31/12/2022,สงขลา,
1108-22,A,"The Siam Refractory Industry Co., Ltd",1/7/2022,17/3/2022,,2/6/2022,,,,,,,,7/7/2022,7/7/2022,,,,6/7/2022,"207,000",6/7/2022,,17/03/2022,NP,A-S,2/6/2022,01/07/2022,สระบุรี,
1109-22,A,"CHAO KHUN AGRO PRODUCTS CO., LTD.",11/4/2022,17/3/2022,,,,,,,,,,23/3/2022,23/3/2022,,,,11/4/2022,"310,000",11/4/2022,S-S,16/03/2022,UL,S-S,,11/04/2022,สระบุรี,18/03/2022
1110-22,A,"CHAO KHUN AGRO PRODUCTS CO., LTD.",18/7/2022,17/3/2022,,13/6/2022,,,,,,,,,,,,,16/8/2022,"690,000",16/8/2022,,16/03/2022,UL,A-S,13/6/2022,11/07/2022,สระบุรี,18/03/2022
1111-22,I,"Continental Petrochemicals (Thailand) Co., Ltd",12/7/2022,17/3/2022,,7/6/2022,,,,,,,,,,,,,24/6/2022,"145,000",24/6/2022,,17/03/2022,UL,A-S,7/6/2022,12/07/2022,สมุทรปราการ,21/03/2022
1112-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),25/7/2022,18/3/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,640,8/7/2022,,18/03/2022,UL,A-S,16/6/2022,25/7/2022,ระยอง,21/03/2022
1113-22,I,"Covestro (Thailand) Co., Ltd.",21/4/2022,21/3/2022,,,,,,,,,,23/6/2022,23/6/2022,,,23/6/2022,29/3/2022,"42,845",29/3/2022,S-S,21/03/2022,NP,S-S,,21/04/2022,ระยอง,
1114-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",16/12/2022,22/3/2022,,31/10/2022,,,,,,,,12/12/2022,12/12/2022,,,12/12/2022,14/12/2022,"104,000",14/12/2022,,22/03/2022,UL,A-S,31/10/2022,03/08/2022,ราชบุรี,23/03/2022
1115-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",20/4/2022,22/3/2022,,,,,,,,,,24/3/2022,24/3/2022,,,24/3/2022,30/3/2022,"68,000",30/3/2022,S-S,22/03/2022,NP,S-S,,20/04/2022,กาญจนบุรี,
1116-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",24/6/2022,22/3/2022,,14/5/2022,,,,,,,,,,,,,7/6/2022,"86,000",7/6/2022,,22/03/2022,NP,A-S,14/5/2022,24/06/2022,กาญจนบุรี,
1117-22,I,"Iharanikkei Chemical (Thailand) Co., Ltd.",28/8/2022,22/3/2022,,2/8/2022,,,,,,,,,,,,,25/8/2022,"1,527,000",25/8/2022,,22/03/2022,UL,A-S,2/8/2022,01/08/2022,ระยอง,23/03/2022
1118-22,I,Huntsman (Thailand) Ltd.,17/5/2022,23/3/2022,,,,,,,,,,,,,,,26/4/2022,"29,000",26/4/2022,,23/03/2022,NP,L-S,,17/05/2022,สมุทรสาคร,
1119-22,I,PTT Global Chemical Public Company Limited ,25/7/2022,23/3/2022,,,,,,,,,,,,,,,9/5/2022,"200,000",9/5/2022,S-S,,UL,S-S,,25/07/2022,ระยอง,05/05/2022
1120-22,I,"AGC Chemicals (Thailand) Co.,Ltd.",8/4/2022,23/3/2022,,,,,,,,,,25/3/2022,25/3/2022,,,25/3/2022,29/3/2022,"67,000",29/3/2022,S-S,23/03/2022,NP,S-S,,08/04/2022,ระยอง,
1121-22,Q,"Circular Energy Co., Ltd.",25/6/2022,25/3/2022,,,,,,,,,,30/3/2022,30/3/2022,,,30/3/2022,,"250,000",,S-S,25/03/2022,NP,S-S,,24/04/2022,ปทุมธานี,
1122-22,I,"Vinythai Public Co.,Ltd",15/8/2022,29/3/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,"20,200",8/7/2022,,28/03/2022,UL,A-S,16/6/2022,15/08/2022,,
1123-22,I,"Pegasus Inter Logistics Co., Ltd.",17/8/2022,30/3/2022,,25/7/2022,,,,,,,,,,,,,24/8/2022,"661,000",24/8/2022,,30/03/2022,UL,A-S,25/7/2022,17/08/2022,กรุงเทพมหานคร,01/04/2022
1124-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",10/10/2022,30/3/2022,,,,,,,,,,,,,,,11/7/2022,"68,200",11/7/2022,,29/03/2022,SI,L-S,,10/10/2022,ราชบุรี,01/04/2022
1125-22,A,"Siam Kraft Industry Co., Ltd ( Ban Pong )",27/6/2022,30/3/2022,,9/5/2022,,,,,,,,,,,,,21/6/2022,"1,000,000",21/6/2022,,30/03/2022,NP,A-S,9/5/2022,27/06/2022,ราชบุรี,01/04/2022
1126-22,I,TPI Polene Public Company Limited (Concrete Roof Tiles Plant),26/8/2022,30/3/2022,,8/4/2022,,,,,,,,24/5/2022,24/5/2022,,,24/5/2022,9/6/2022,"9,981",9/6/2022,,29/03/2022,UL,A-S,8/4/2022,26/08/2022,สระบุรี,01/04/2022
1127-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",28/7/2022,30/3/2022,,27/5/2022,,,,,,,,,,,,,1/7/2022,"232,000",1/7/2022,,30/03/2022,UL,A-S,27/5/2022,28/07/2022,กาญจนบุรี,01/04/2022
1128-22,I,"GENERAL HOSPITAL PRODUCTS PUBLIC CO.,LTD.",31/5/2022,31/3/2022,,16/5/2022,,,,,,,,,,,,,27/5/2022,"14,000",27/5/2022,,31/03/2022,NP,A-S,16/5/2022,31/05/2022,ปทุมธานี,
1129-22,I,TPI Polene Public Company Limited (Cement Plant),1/7/2022,31/3/2022,,17/6/2022,,,,,,,,,,,,,6/7/2022,"326,600",6/7/2022,,,UL,A-S,17/6/2022,03/06/2022,สระบุรี,04/04/2022
1130-22,Q,TPI Polene Public Company Limited (Concrete Roof Tiles Plant),31/12/2022,31/3/2022,,5/7/2022,,,,,,,,,,,,,30/9/2022,"229,500",30/9/2022,,,UL,A-S,5/7/2022,31/12/2022,สระบุรี,28/04/2022
1131-22,I,Double A (1991) Public Company Limited,15/8/2022,1/4/2022,,5/5/2022,,,,,,,,,,,,,29/7/2022,"148,200",29/7/2022,,01/04/2022,UL,A-S,5/5/2022,29/07/2022,ปราจีนบุรี,04/04/2022
1132-22,I,Phoenix Pulp & Paper Public Company Limited,30/9/2022,4/4/2022,,,,,,,,,,,,,,,27/9/2022,"113,000",27/9/2022,,04/04/2022,SI,L-S,,18/09/2022,ขอนแก่น,
1133-22,I,Phoenix Pulp & Paper Public Company Limited,30/9/2022,4/4/2022,,,,,,,,,,,,,,,27/9/2022,"70,000",27/9/2022,,04/04/2022,SI,L-S,,18/09/2022,ขอนแก่น,
1134-22,I,Phoenix Pulp & Paper Public Company Limited,30/9/2022,4/4/2022,,,,,,,,,,23/11/2022,23/11/2022,,,23/11/2022,27/9/2022,"8,700",27/9/2022,,04/04/2022,SI,L-S,,18/09/2022,ขอนแก่น,
1135-22,A,Phoenix Pulp & Paper Public Company Limited,18/8/2022,4/4/2022,,9/9/2022,,,,18/5/2021,,18/5/2021,,18/5/2021,,,,,31/10/2022,"265,000",31/10/2022,,01/04/2022,UL,A-S,9/9/2022,18/08/2022,ขอนแก่น,04/04/2022
1136-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",3/8/2022,5/4/2022,,18/5/2022,,,,,,,,,,,,,10/6/2022,"72,000",10/6/2022,,05/04/2022,UL,A-S,18/5/2022,03/08/2022,กาญจนบุรี,07/04/2022
1137-22,I,Double A (1991) Public Company Limited,19/5/2022,6/4/2022,,8/4/2022,,,,,,,,,,,,,24/5/2022,"23,940",24/5/2022,,06/04/2022,UL,A-S,8/4/2022,13/05/2022,ปราจีนบุรี,
1138-22,Q,"Bangchak Bioethanol Co,. Ltd",30/4/2022,7/4/2022,,25/4/2022,,,,,,,,,,,,,9/5/2022,"42,800",9/5/2022,,07/04/2022,NP,A-S,25/4/2022,30/04/2022,ฉะเชิงเทรา,
1139-22,I,Double A (1991) Public Company Limited,9/9/2022,8/4/2022,,15/8/2022,,,,,,,,,,,,,30/8/2022,"376,000",30/8/2022,,08/04/2022,UL,A-S,15/8/2022,09/09/2022,ปราจีนบุรี,08/04/2022
1140-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",6/7/2022,11/4/2022,,24/5/2022,,,,,,,,,,,,,7/6/2022,"55,000",7/6/2022,,08/04/2022,SI,A-S,24/5/2022,06/07/2022,ราชบุรี,
1141-22,S,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",28/2/2023,11/4/2022,A-ES,,,,,,,,,,,,,,,"342,000",,,07/04/2022,UL,L-M,,28/02/2023,กาญจนบุรี,
1142-22,I,PTT Global Chemical Public Company Limited,3/1/2023,11/4/2022,,20/4/2022,,,,,,,,,,,,,6/1/2023,"58,000",6/1/2023,,11/04/2022,UL,A-S,20/4/2022,03/01/2023,ระยอง,11/04/2022
1143-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),21/7/2022,11/4/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,"1,054",8/7/2022,,11/04/2022,UL,A-S,16/6/2022,17/07/2022,ระยอง,11/04/2022
1144-22,I,"OSC Siam Silica Co., Ltd.",15/8/2022,11/4/2022,,16/6/2022,,,,,,,,7/7/2022,7/7/2022,,,7/7/2022,8/7/2022,"17,400",8/7/2022,,11/04/2022,UL,A-S,16/6/2022,15/08/2022,,11/04/2022
1145-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),1/8/2022,11/4/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,"4,348",8/7/2022,,11/04/2022,UL,A-S,16/6/2022,01/08/2022,ระยอง,
1146-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),1/8/2022,11/4/2022,,16/6/2022,,,,,,,,,,,,,8/7/2022,"58,800",8/7/2022,,11/04/2022,UL,A-S,16/6/2022,01/08/2022,ระยอง,
1147-22,I,"Vinythai Public Co.,Ltd",30/6/2022,19/4/2022,,4/5/2022,,,,,,,,,,,,,25/5/2022,"89,400",25/5/2022,,19/04/2022,NP,A-S,4/5/2022,30/06/2022,,
1148-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",18/7/2022,19/4/2022,,24/5/2022,,,,,,,,,,,,,7/6/2022,"58,000",7/6/2022,,19/04/2022,NP,A-S,24/5/2022,18/07/2022,ราชบุรี,
1149-22,I,Double A (1991) Public Company Limited,26/8/2022,20/4/2022,,10/7/2022,,,,,,,,30/8/2022,30/8/2022,,,30/8/2022,30/8/2022,"213,280",30/8/2022,,20/04/2022,UL,A-S,10/7/2022,26/08/2022,ปราจีนบุรี,21/04/2022
1150-22,I,Phoenix Pulp & Paper Public Company Limited,16/9/2022,21/4/2022,,3/8/2022,,,,,,,,7/9/2022,7/9/2022,,,7/9/2022,7/9/2022,"230,000",7/9/2022,,21/04/2022,UL,A-S,3/8/2022,18/08/2022,ขอนแก่น,21/04/2022
1151-22,I,Phoenix Pulp & Paper Public Company Limited,29/6/2022,21/4/2022,,1/6/2022,,,,,,,,,,,,,4/7/2022,"204,000",4/7/2022,,21/04/2022,UL,A-S,1/6/2022,29/06/2022,ขอนแก่น,21/04/2022
1152-22,I,THAI COLD ROLLED STEEL SHEET PUBLIC COMPANY LIMITED,9/5/2022,21/4/2022,,,,,,,,,,31/5/2022,31/5/2022,,,31/5/2022,29/4/2022,"36,000",29/4/2022,S-S,21/04/2022,UL,S-S,,09/05/2022,ประจวบคีรีขันธ์,22/04/2022
1153-22,I,"Covestro (Thailand) Co., Ltd.",29/4/2022,22/4/2022,,,,,,,,,,25/4/2022,25/4/2022,,,25/4/2022,27/4/2022,"10,000",27/4/2022,S-S,22/04/2022,NP,S-S,,29/04/2022,ระยอง,
1154-22,Q,THAI RAYON PUBLIC COMPANY LIMITED,31/5/2022,25/4/2022,,,,,,,,,,4/5/2022,4/5/2022,,,4/5/2022,12/5/2022,"24,000",12/5/2022,S-S,,SI,S-S,,31/05/2022,กรุงเทพมหานคร,
1155-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,6/5/2022,27/4/2022,,,,,,,,,,,,,,,6/5/2022,"24,000",6/5/2022,,27/04/2022,SI,L-S,,06/05/2022,ปราจีนบุรี,
1156-22,I,"Nobel NC Co.,Ltd.",25/5/2022,27/4/2022,,12/5/2022,,,,,,,,,,,,,23/5/2022,"130,000",23/5/2022,,27/04/2022,NP,A-S,12/5/2022,25/05/2022,ชัยนาท,
1157-22,A,ROSS BREEDERS SIAM COMPANY LIMITED,9/5/2022,28/4/2022,,,,,,,,,,29/4/2022,29/4/2022,,,,9/5/2022,"39,000",9/5/2022,S-S,27/04/2022,NP,S-S,,05/05/2022,กรุงเทพมหานคร,
1158-22,A,"The Siam Refractory Industry Co., Ltd",30/9/2022,28/4/2022,,24/6/2022,,,,,,,,2/9/2022,2/9/2022,,,,8/9/2022,"207,000",8/9/2022,,28/04/2022,NP,A-S,24/6/2022,05/08/2022,สระบุรี,
1159-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",28/5/2022,28/4/2022,,9/5/2022,,,,,,,,,,,,,19/5/2022,"23,000",19/5/2022,,28/04/2022,SI,A-S,9/5/2022,28/05/2022,ราชบุรี,
1160-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",28/6/2022,29/4/2022,,2/6/2022,,,,,,,,,,,,,21/6/2022,"40,000",21/6/2022,,29/04/2022,SI,A-S,2/6/2022,28/05/2022,ราชบุรี,
1161-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,25/10/2022,29/4/2022,,,,,,,,,,,,,,,14/7/2022,"61,000",14/7/2022,,,SI,L-S,,25/10/2022,ปราจีนบุรี,29/04/2022
1162-22,I,"Mahanakorn Trading Co.,Ltd",11/5/2022,29/4/2022,,,,,,,,,,,,,,,11/5/2022,"2,850",11/5/2022,,29/04/2022,NP,L-S,,06/05/2022,กรุงเทพมหานคร,
1163-22,A,"Advanced Biochemical (Thailand) Co.,Ltd.",2/11/2022,29/4/2022,,22/7/2022,,,,,,,,,,,,,25/11/2022,"3,650,000",25/11/2022,,,UL,A-S,22/7/2022,02/11/2022,,06/05/2022
1164-22,S,Bangchak Corporation Public Company Limited,31/12/2024,29/4/2022,A-ES,,,,,,,,,,,,,,,"1,584,000",,,29/04/2022,UL,L-M,,01/01/1970,กรุงเทพมหานคร,02/05/2022
1165-22,A,RCI Labscan Limited,17/8/2022,4/5/2022,,25/7/2022,,,,,,,,,,,,,22/8/2022,"293,550",22/8/2022,,03/05/2022,UL,A-S,25/7/2022,17/08/2022,สมุทรสาคร,04/05/2022
1166-22,I,"Thai Polyethylene Co., Ltd.",31/5/2022,4/5/2022,,12/5/2022,,,,,,,,,,,,,25/5/2022,"33,440",25/5/2022,,04/05/2022,UL,A-S,12/5/2022,31/05/2022,ระยอง,04/05/2022
1167-22,I,"Pharmaceuticals and Medical Supply Co., Ltd. (PMS Machinery)",31/8/2022,4/5/2022,,,,,,,,,,9/5/2022,9/5/2022,,,9/5/2022,27/7/2022,"58,000",27/7/2022,S-S,04/05/2022,UL,S-S,,31/08/2022,สมุทรสาคร,04/05/2022
1168-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),21/9/2022,4/5/2022,,1/7/2022,,,,,,,,,,,,,18/7/2022,"1,686",18/7/2022,,04/05/2022,UL,A-S,1/7/2022,21/09/2022,ระยอง,06/05/2022
1169-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),30/5/2022,4/5/2022,,11/5/2022,,,,,,,,,,,,,25/5/2022,"140,000",25/5/2022,,04/05/2022,UL,A-S,11/5/2022,30/05/2022,ระยอง,
1170-22,S,"CHAO KHUN AGRO PRODUCTS CO., LTD.",29/7/2022,6/5/2022,,13/8/2021,,,,,,,,,,,,,4/8/2022,"65,000",4/8/2022,,,UL,A-S,13/8/2021,21/07/2022,สระบุรี,30/06/2022
1171-22,S,Phoenix Pulp & Paper Public Company Limited,28/2/2023,6/5/2022,A-ES,,,,,,,,,,,,,,10/1/2023,"294,000",10/1/2023,,06/05/2022,UL,L-M,,28/02/2023,ขอนแก่น,
1172-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",13/5/2022,6/5/2022,,,,,,,,,,9/5/2022,9/5/2022,,,9/5/2022,9/5/2022,"45,000",9/5/2022,S-S,06/05/2022,SI,S-S,,13/05/2022,ราชบุรี,
1173-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",13/5/2022,6/5/2022,,,,,,,,,,9/5/2022,9/5/2022,,,9/5/2022,9/5/2022,"59,000",9/5/2022,S-S,06/05/2022,SI,S-S,,13/05/2022,ราชบุรี,
1174-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",13/5/2022,6/5/2022,,21/5/2021,,,,,,,,9/5/2022,9/5/2022,,,9/5/2022,9/5/2022,"45,000",9/5/2022,S-S,06/05/2022,SI,S-S,21/5/2021,13/05/2022,ราชบุรี,
1175-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",10/8/2022,6/5/2022,,2/8/2022,,,,,,,,,,,,,11/8/2022,"67,000",11/8/2022,,06/05/2022,NP,A-S,2/8/2022,04/08/2022,กาญจนบุรี,
1176-22,I,"Bangchak Bioethanol Co,. Ltd",30/6/2022,6/5/2022,,2/6/2022,,,,,,,,,,,,,22/6/2022,"38,000",22/6/2022,,06/05/2022,NP,A-S,2/6/2022,30/06/2022,ฉะเชิงเทรา,
1177-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",13/5/2022,7/5/2022,,,,,,,,,,9/5/2022,9/5/2022,,,9/5/2022,13/5/2022,"59,000",13/5/2022,S-S,,SI,S-S,,13/05/2022,ราชบุรี,
1178-22,I,"Water Field Asia Co., Ltd.",30/9/2022,10/5/2022,,,,,,,,,,,,,,,30/9/2022,"260,000",30/9/2022,,,SI,L-S,,30/09/2022,กรุงเทพมหานคร,
1179-22,A,ROSS BREEDERS SIAM COMPANY LIMITED,31/5/2022,10/5/2022,,,,,,,,,,11/5/2022,11/5/2022,,,,30/5/2022,"39,000",30/5/2022,S-S,10/05/2022,NP,S-S,,31/05/2022,กรุงเทพมหานคร,
1180-22,I,Patum Vegetable Oil Company Limited,13/5/2022,10/5/2022,,,,,,,,,,11/5/2022,11/5/2022,,,11/5/2022,13/5/2022,"16,000",13/5/2022,S-S,10/05/2022,NP,S-S,,13/05/2022,ปทุมธานี,
1181-22,I,"AGC Chemicals (Thailand) Co., Ltd.",12/5/2022,11/5/2022,,,,,,,,,,11/5/2022,11/5/2022,,,11/5/2022,11/5/2022,"19,000",11/5/2022,S-S,,SI,S-S,,12/05/2022,สมุทรปราการ,
1182-22,Q,Thai Rayon Public Company Limited,15/8/2022,11/5/2022,,,,,,,,,,11/7/2022,11/7/2022,,,11/7/2022,15/8/2022,"399,000",15/8/2022,,10/05/2022,UL,W-S,,15/08/2022,,
1183-22,I,Phoenix Pulp & Paper Public Company Limited,9/2/2023,13/5/2022,,,,,,,,,,,,,,,16/1/2023,"175,000",16/1/2023,,,SI,L-S,,08/11/2022,ขอนแก่น,
1184-22,I,Phoenix Pulp & Paper Public Company Limited,8/11/2022,13/5/2022,,22/9/2022,,,,,,,,,,,,,29/9/2022,"209,000",29/9/2022,,13/05/2022,SI,A-S,22/9/2022,08/11/2022,ขอนแก่น,
1185-22,Q,SOUTHEAST ASIAN PACKAGING AND CANNING LTD.,1/6/2022,13/5/2022,,,,,,,,,,,,,,,23/5/2022,"32,000",23/5/2022,,13/05/2022,SI,L-S,,01/06/2022,สมุทรปราการ,
1186-22,I,"Vinythai Public Co.,Ltd",5/8/2022,13/5/2022,,1/7/2022,,,,,,,,,,,,,18/7/2022,"17,500",18/7/2022,,13/05/2022,UL,A-S,1/7/2022,05/08/2022,,
1187-22,I,"Ingredion (Thailand) Co.,Ltd. ( Rayong )",10/10/2022,13/5/2022,,1/7/2022,,,,,,,,24/5/2022,24/5/2022,,,24/5/2022,18/7/2022,"7,000",18/7/2022,,13/05/2022,UL,A-S,1/7/2022,10/10/2022,ระยอง,
1188-22,I,Double A (1991) Public Company Limited,21/10/2022,17/5/2022,,22/8/2022,,,,,,,,,,,,,28/9/2022,"376,000",28/9/2022,,17/05/2022,UL,A-S,22/8/2022,21/10/2022,ปราจีนบุรี,17/05/2022
1189-22,I,THAI COLD ROLLED STEEL SHEET PUBLIC COMPANY LIMITED,,17/5/2022,,,,,,,,,,,,,,,,"200,000",,,17/05/2022,NP,A-S,,,ประจวบคีรีขันธ์,09/09/2022
1190-22,I,"National Power Plant 3 Co.,Ltd.",20/9/2022,20/5/2022,,19/8/2022,,,,,,,,,,,,,19/9/2022,"228,000",19/9/2022,,20/05/2022,UL,A-S,19/8/2022,26/08/2022,ฉะเชิงเทรา,20/05/2022
1191-22,I,Total Corbion PLA (Thailand) Limited,23/6/2022,20/5/2022,,26/5/2022,,,,,,,,,,,,,2/6/2022,"59,000",2/6/2022,,20/05/2022,UL,A-S,26/5/2022,23/06/2022,ระยอง,23/05/2022
1192-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",17/9/2022,23/5/2022,,20/7/2022,,,,,,,,21/9/2022,21/9/2022,,,21/9/2022,1/9/2022,"101,000",1/9/2022,,20/05/2022,UL,A-S,20/7/2022,17/09/2022,กาญจนบุรี,23/05/2022
1193-22,Q,"E85 Co.,Ltd.",23/9/2022,23/5/2022,,15/7/2022,,,,,,,,,,,,,15/9/2022,"188,000",15/9/2022,,,SI,A-S,15/7/2022,23/09/2022,ปราจีนบุรี,
1194-22,I,"Nobel NC Co.,Ltd.",5/9/2022,25/5/2022,,9/8/2022,,,,,,,,,,,,,16/8/2022,"153,000",16/8/2022,,25/05/2022,NP,A-S,9/8/2022,05/09/2022,ชัยนาท,
1195-22,I,TPI Polene Public Company Limited (Concrete Roof Tiles Plant),14/10/2022,25/5/2022,,27/7/2022,,,,,,,,,,,,,2/9/2022,"5,800",2/9/2022,,24/05/2022,UL,A-S,27/7/2022,14/10/2022,สระบุรี,
1196-22,I,IRPC Public Company Limited,16/6/2022,26/5/2022,,27/5/2022,,,,,,,,,,,,,6/6/2022,"44,000",6/6/2022,,26/05/2022,NP,A-S,27/5/2022,16/06/2022,ระยอง,
1197-22,I,Total Corbion PLA (Thailand) Limited,30/6/2022,26/5/2022,,27/5/2022,,,,,,,,,,,,,10/6/2022,"59,000",10/6/2022,,26/05/2022,UL,A-S,27/5/2022,30/06/2022,ระยอง,
1198-22,I,"AGC Vinythai Public Co., Ltd.",18/10/2022,27/5/2022,,21/9/2022,,,,,,,,,,,,,11/10/2022,"420,000",11/10/2022,,27/05/2022,NP,A-S,21/9/2022,29/08/2022,สมุทรปราการ,
1199-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),7/9/2022,27/5/2022,,8/10/2022,,,,,,,,,,,,,19/10/2022,"210,790",19/10/2022,,27/05/2022,UL,A-S,8/10/2022,07/09/2022,ระยอง,30/05/2022
1200-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),8/9/2022,27/5/2022,,9/8/2022,,,,,,,,,,,,,19/8/2022,"12,950",19/8/2022,,27/05/2022,UL,A-S,9/8/2022,08/09/2022,ระยอง,30/05/2022
1201-22,I,PTT Global Chemical Public Company Limited,21/8/2022,27/5/2022,,1/6/2022,,,,,,,,,,,,,8/8/2022,"100,000",8/8/2022,,26/05/2022,UL,A-S,1/6/2022,21/08/2022,ระยอง,30/05/2022
1202-22,I,"ASIA KRAFT PAPER CO., LTD.",26/9/2022,27/5/2022,,27/7/2022,,,,,,,,,,,,,5/9/2022,"62,100",5/9/2022,,27/05/2022,UL,A-S,27/7/2022,26/09/2022,,30/05/2022
1203-22,I,"Siam PVS Chemicals Co.,Ltd.",6/6/2022,30/5/2022,,,,,,,,,,30/5/2022,30/5/2022,,,30/5/2022,30/5/2022,"19,000",10/6/2022,S-S,,NP,S-S,,06/06/2022,สมุทรปราการ,
1204-22,I,Metro Ply Group,5/8/2022,30/5/2022,,,,,,,,,,,,,,,11/7/2022,"56,000",11/7/2022,,,SI,L-S,,13/07/2022,นนทบุรี,
1205-22,I,Double A (1991) Public Company Limited,16/9/2022,30/5/2022,,14/9/2022,,,,,,,,,,,,,28/9/2022,"165,600",28/9/2022,,30/05/2022,UL,A-S,14/9/2022,16/09/2022,ปราจีนบุรี,
1206-22,I,Double A (1991) Public Company Limited,16/8/2022,30/5/2022,,7/6/2022,,,,,,,,,,,,,29/7/2022,"19,950",29/7/2022,,30/05/2022,UL,A-S,7/6/2022,29/07/2022,ปราจีนบุรี,30/05/2022
1207-22,I,Phoenix Pulp & Paper Public Company Limited,29/7/2022,30/5/2022,,13/6/2022,,,,,,,,2/8/2022,2/8/2022,,,2/8/2022,5/8/2022,"36,400",5/8/2022,,30/05/2022,UL,A-S,13/6/2022,29/07/2022,ขอนแก่น,31/05/2022
1208-22,I,Phoenix Pulp & Paper Public Company Limited,28/8/2022,30/5/2022,,24/6/2022,,,,,,,,,,,,,5/8/2022,"68,000",5/8/2022,,30/05/2022,UL,A-S,24/6/2022,28/08/2022,ขอนแก่น,31/05/2022
1209-22,A,"AGC Chemicals (Thailand) Co.,Ltd.",16/8/2022,31/5/2022,,24/6/2022,,,,,,,,23/8/2022,23/8/2022,,,,24/8/2022,"552,420",24/8/2022,,31/05/2022,NP,A-S,24/6/2022,16/08/2022,ระยอง,
1210-22,I,Double A (1991) Public Company Limited,29/7/2022,31/5/2022,,7/6/2022,,,,,,,,,,,,,22/6/2022,"66,500",29/7/2022,,,UL,A-S,7/6/2022,29/07/2022,ปราจีนบุรี,06/07/2022
1211-22,I,"Bangchak Bioethanol Co,. Ltd",1/8/2022,1/6/2022,,27/6/2022,,,,,,,,27/7/2022,27/7/2022,,,27/7/2022,29/7/2022,"78,000",29/7/2022,,01/06/2022,NP,A-S,27/6/2022,06/07/2022,ฉะเชิงเทรา,
1212-22,I,Double A (1991) Public Company Limited,21/6/2022,1/6/2022,,6/6/2022,,,,,,,,,,,,,22/6/2022,"76,000",22/6/2022,,,SI,A-S,6/6/2022,17/06/2022,ปราจีนบุรี,03/06/2022
1213-22,I,"Kasisuri Co.,LTD",30/9/2022,3/6/2022,,26/9/2022,,,,,,,,,,,,,20/10/2022,"70,000",20/10/2022,,01/06/2022,UL,A-S,26/9/2022,30/09/2022,สิงห์บุรี,
1214-22,I,TPT Petrochemicals Public Company Limited,1/8/2022,3/6/2022,,29/6/2022,,,,,,,,,,,,,8/7/2022,"322,240",8/7/2022,,03/06/2022,UL,A-S,29/6/2022,01/08/2022,,04/06/2022
1215-22,I,"Siam Polyethylene Co.,Ltd",10/8/2022,4/6/2022,,29/6/2022,,,,,,,,,,,,,18/7/2022,"42,000",18/7/2022,,02/06/2022,UL,A-S,29/6/2022,10/08/2022,,04/06/2022
1216-22,A,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",20/8/2022,6/6/2022,,28/6/2022,,,,,,,,,,,,,13/9/2022,"235,000",13/9/2022,,,SI,A-S,28/6/2022,20/08/2022,กาญจนบุรี,08/06/2022
1217-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,14/6/2022,7/6/2022,,,,,,,,,,,,,,,17/6/2022,"12,000",17/6/2022,,07/06/2022,NP,L-S,,14/06/2022,ปราจีนบุรี,
